ccode,cname,cregion,year,median_inc,pov_rate,source,gdp_year,gdp_growth,gdp_size,gpd_capta,pop_total,pop_poor,aid_year,aid_crsio,aid_crsc,aid_total,aid_capta,aid_poor,source_aid
51,Armenia,Caspian Sea,2012,152.95,1.58,PovcalNet,2012,7.2,10619320048,3684.80,2881922,45534,2013,508688864,159696720,668385584,231.92,14678.82,qog
31,Azerbaijan,Caspian Sea,2012,261.33,6,WB National,2012,2.2,69683935845,7496.29,9295784,557747,2013,869549568,133596968,1003146536,107.91,1798.56,qog
68,Bolivia,Amazon Basin,2012,280.8,8.2,PovcalNet,2012,5.1,27084497539,2645.22,10239004,839598,2013,474844992,320817760,795662752,77.70,947.67,qog
76,Brazil,Amazon Basin,2012,353.73,3.77,PovcalNet,2012,1.9,2465188674415,12291.46,200560983,7561149,2013,6369971712,703048320,7073020032,35.26,935.44,qog
170,Colombia,Amazon Basin,2012,242.60,6.2,PovcalNet,2012,3.9,370574421703,7904.49,46881475,2906651,2013,1812884736,1039328000,2852212736,60.83,981.27,qog
180,"Congo, Democratic Republic",Congo Basin,2012,33.48,76.59,PovcalNet,2012,7,29306235826,424.85,68978682,52830772,2013,1033673408,1132195328,2165868736,31.39,40.99,qog
218,Ecuador,Amazon Basin,2012,277.17,4.46,PovcalNet,2012,5.6,87924544000,5702.1,15419666,687717,2013,839329664,149222304,988551968,64.10,1437.44,qog
818,Egypt,Nile Basin,2012,130.87,2.29,PovcalNet,2012,2.2,279372758361,3181.44,87813257,2010923,2013,1746383360,6917741568,8664124928,98.66,4308.53,qog
268,Georgia,Caspian Sea,2012,154.68,8.62,PovcalNet,2012,6.4,15846484587,4142.87,3825000,329715,2013,717649600,301931168,1019580768,266.55,3092.30,qog
324,Guinea,Niger Basin,2012,71.01,35.27,PovcalNet,2012,5.9,7638045254,677.04,11281469,3978974,2013,465087584,296698976,761786560,67.52,191.45,qog
360,Indonesia,Bay of Bengal,2012,109.45,11.56,World Bank,2012,6,917869910105,3687.95,248883232,28770901,2013,2556197120,3257186304,5813383424,23.35,202.05,qog
398,Kazakhstan,Caspian Sea,2012,298.98,0.03,PovcalNet,2012,4.8,207998568865,12386.7,16792089,5037,2013,1083798784,58500524,1142299308,68.02,226781.67,qog
604,Peru,Amazon Basin,2012,284.20,4.73,PovcalNet,2012,6.1,192648999090,6387.78,30158966,1426519,2013,369643168,822789760,1192432928,39.53,835.90,qog
144,Sri Lanka,Bay of Bengal,2012,165.08,1.92,PovcalNet,2012,9.1,68434409315,3350.52,20425000,392160,2013,695151744,685264832,1380416576,67.58,3520.03,qog
792,Turkey,Caspian Sea,2012,370.54,0.26,PovcalNet,2012,4.8,873982246611,11720.31,74569867,193881,2013,7432960000,912452736,8345412736,111.91,43043.99,qog
800,Uganda,Nile Basin,2012,72.33,35.86,PovcalNet,2012,3.8,23114293416,636.63,36306796,13019617,2013,1036684672,1099506688,2136191360,58.83,164.07,qog
204,Benin,Niger Basin,2011,54.75,53.11,PovcalNet,2011,3,7814081155,825.94,9460802,5024631,2012,321737440,312058336,633795776,66.99,126.13,qog
178,Congo,Congo Basin,2011,76.21,36.97,PovcalNet,2011,3.4,14425607179,3196.64,4512730,1668356,2012,108322272,79883888,188206160,41.70,112.80,qog
231,Ethiopia,Nile Basin,2011,71.44,33.53,PovcalNet,2011,11.8,31952763089,354.84,90046756,30192677,2012,2985673472,1961520768,4947194240,54.94,163.85,qog
356,India,Bay of Bengal,2011,93.00,21.2,World Bank,2011,5.2,1823049927771,1461.67,1247236029,264414038,2013,4969641984,4550646272,9520288256,7.63,36,qog
562,Niger ,Niger Basin,2011,57.58,50.34,PovcalNet,2011,2.3,6409184724,375.58,17064636,8590337,2012,644424192,529980416,1174404608,68.82,136.71,qog
646,Rwanda,Nile Basin,2011,46.72,62.3,PovcalNet,2011,7.8,6563320570,624.12,10516071,6551512,2012,466589920,435038688,901628608,85.73,137.62,qog
694,Sierra Leone,Niger Basin,2011,55.88,52.21,PovcalNet,2011,6.3,2942546781,445.05,6611692,3451964,2012,288197056,175762976,463960032,70.17,134.40,qog
834,Tanzania,Congo Basin,2011,58.43,49.09,PovcalNet,2011,7.7,34657139495,728.53,47570902,23352555,2012,1256664576,1336470016,2593134592,54.51,111.04,qog
50,Bangladesh,Bay of Bengal,2010,85.06,19.63,PovcalNet,2010,5.6,115279077465,757.67,152149102,29866868,2011,3055721728,1763791488,4819513216,31.67,161.36,qog
466,Mali,Niger Basin,2010,58.11,49.65,PovcalNet,2010,5.4,10678749467,708.37,15075085,7484779,2011,336793184,718421056,1055214240,69.99,140.98,qog
104,Myanmar,Bay of Bengal,2010,128.15,42.15,WB National,2010,9.6,49540813342,987.73,50155896,21140710,2011,91639568,262504448,354144016,7.06,16.75,qog
566,Nigeria,Niger Basin,2010,54.10,53.47,PovcalNet,2010,8,363359886203,2291.36,158578261,84791796,2011,1456513024,745584000,2202097024,13.88,25.97,qog
894,Zambia,Congo Basin,2010,40.81,64.42,PovcalNet,2010,10.3,20265556273,2291.36,13850033,8922191,2011,140202464,828643520,968845984,69.95,108.58,qog
364,Iran,Caspian Sea,2009,388.35,0.97,PovcalNet,2009,1,414059094949,5619.11,73687565,714769,2010,22725856,108636504,131362360,1.78,183.78,qog
729,Sudan,Nile Basin,2009,112.1,14.93,PovcalNet,2009,3.2,53150209167,1358.74,39117000,5840168,2010,683989952,1754257280,2438247232,62.33,417.49,qog
24,Angola,Congo Basin,2008,87.03,30.08,PovcalNet,2008,11.2,88538611205,4068.97,21759420,6545233,2009,676565952,217545040,894110992,41.09,136.60,qog
140,Central African Republic,Congo Basin,2008,40.64,66.26,PovcalNet,2008,2,1985240986,4568.62,4345386,2879252,2009,291768928,123866680,415635608,95.64,144.35,qog
120,Cameroon,Congo Basin,2007,85.84,29.27,PovcalNet,2007,4.9,22365265025,1215.80,18395389,5384330,2008,361755840,938099840,1299855680,70.66,241.41,qog
108,Burundi,Nile Basin,2006,36.36,77.75,PovcalNet,2006,5.4,1273375020,165.90,7675338,5967575,2007,253026848,253959696,506986544,66.05,84.95,qog
862,Venezuela,Amazon Basin,2006,228.11,10.22,PovcalNet,2006,9.9,183477522123,6735.79,27239168,2783842,2007,1079454336,38726536,1118180872,41.05,401.66,qog
266,Gabon,Congo Basin,2005,149.27,10.07,PovcalNet,2005,2.7,9578973591,6826.88,1403126,141294,2006,81970792,133933688,215904480,153.87,1528.05,qog
404,Kenya,Nile Basin,2005,65.19,43.65,PovcalNet,2005,3.3,18737897744,519.79,36048288,15735077,2006,436658688,1413163392,1849822080,51.31,117.56,qog
860,Uzbekistan,Caspian Sea,2003,48.97,62.13,PovcalNet,2003,4.2,10134453435,396.37,25567650,15885180,2004,257125584,308071776,565197360,22.10,35.58,qog
740,Suriname,Amazon Basin,1999,139.37,23.38,PovcalNet,1999,-1.4,886290697,1897.82,467003,109185,2000,44161160,25745430,69906590,149.69,640.25,qog
328,Guyana,Amazon Basin,1998,148.85,14,PovcalNet,1998,-1.7,717530683,946.67,757952,106113,1999,147236528,135156416,282392944,372.57,2661.24,qog
795,Turkmenistan,Caspian Sea,1998,58.36,51.43,PovcalNet,1998,4.3,2605688065,590.39,4413477,2269851,1999,14568451,168272416,182840867,41.42,80.55,qog
